
SN:6954041400029 M：12.0084g 2019/11/3 16:04:56
SN:6954041400029 M：22.0084g 2019/11/3 16:05:12
SN:6954041400029 M1：23.0084g M2:23.0084g2019/11/3 16:54:46
SN:6954041400029 M1：24.0084g M2:23.0084g2019/11/3 16:57:23
SN:CN0900414 M1：24.0284g M2:24.0084g2019/11/3 16:57:49
SN:6954041400029 M1：25.0284g M2:24.0284g2019/11/3 18:05:15
SN:6954041400029 M1：25.0284g M2:25.5684g2019/11/3 18:07:22
SN:CN0900414 M1：25.5684g M2:25.5684g2019/11/3 18:08:21
SN:CN0900414 M1：25.4684g M2:25.5684g2019/11/3 18:08:40
SN:CN0900414 M1:25.4684g M2:25.5884g2019/11/3 18:11:41
SN:CN0900414 M1:25.5884g M2:25.5884g2019/11/3 18:17:56
SN:6954041400029 M1:25.00084g M2:25.5884g 2019/11/3 18:19:58
SN:CN0900414 M1:25.00084g M2:25.00084g 2019/11/3 19:37:23
SN:CN0900414 M1:22.00084g M2:25.00084g 2019/11/3 19:38:02
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:38:05
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:38:08
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:38:10
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:39:18
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:40:55
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:41:28
SN:CN0900414 M1:22.00084g M2:22.00084g 2019/11/3 19:43:09
SN:CN0900414 M1:22.00084g M2:25.00084g 2019/11/3 19:48:41
SN:CN0900414 M1:25.00084g M2:25.00084g 2019/11/3 19:49:38
SN:CN0900414 M1:25.00084g M2:27.00084g 2019/11/3 19:55:09
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:21
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:30
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:30
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:31
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:32
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:39
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:40
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:40
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:40
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:40
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:40
SN:CN0900414 M1:27.0084g M2:27.0084g 2019/11/4 9:34:40
SN:CN0900414 M1:27.0084g M2:28.0084g 2019/11/4 9:36:57
SN:6954041400029 M1:28.0084g M2:28.0984g 2019/11/4 9:45:32
SN:6954041400029 M1:3.0132g M2:5.4437g 2019/11/4 11:16:17
SN:6954041400029 M1:5.4437g M2:5.4976g 2019/11/4 11:17:20
SN:6954041400029 M1:5.4976g M2:119.7995g 2019/11/4 11:20:17
SN:6954041400029 M1:119.7991g M2:119.7995g 2019/11/4 11:20:34
SN:6954041400029 M1:28.0984g M2:28.1084g 2019/11/4 14:07:02
SN:CN0900414 M1:28.1084g M2:28.1984g 2019/11/4 14:08:24
SN:6954041400029 M1:28.1984g M2:29.1984g 2019/11/5 16:43:09
SN:ZY00099001 M1:29.1984g M2:29.1984g 2019/11/12 9:53:36
SN:ZY00099001 M1:29.1984g M2:29.1984g 2019/11/12 9:53:37
SN:ZY00099001 M1:29.1984g M2:29.1984g 2019/11/12 9:54:03
SN:ZY00099001 M1:10.00g M2:29.1984g 2019/11/12 9:57:01
SN:ZY00099001 M1:10.00g M2:10.0810g 2019/11/12 9:57:41
SN:ZY32312347 M1:10.0810g M2:10.1610g 2019/11/12 10:32:07
SN:ZY32312348 M1:10.1610g M2:10.1610g 2019/11/12 10:32:57
SN:ZY32312354 M1:10.1610g M2:10.2410g 2019/11/12 10:42:03
SN:ZY32312359 M1:10.2410g M2:10.2410g 2019/11/12 10:43:00
